               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/cells_mAP,metrics/cells_mAP_50
                  48,            0.071171,             0.43416,                   0,             0.42962,             0.59938,             0.50344,             0.19437,            0.075033,             0.89893,                   0,            0.011164,           0.0081635,           0.0081635,             0.19437,             0.50344
                  49,            0.069763,             0.40325,                   0,             0.49215,             0.56366,             0.55149,             0.26026,            0.091101,               1.022,                   0,           0.0092992,           0.0082992,           0.0082992,             0.26026,             0.55149
                  50,            0.081787,             0.48122,                   0,             0.49215,             0.56366,             0.55149,             0.26026,            0.091101,              1.0219,                   0,             0.00835,             0.00835,             0.00835,             0.26026,             0.55149
                  51,             0.08344,             0.52544,                   0,             0.72316,             0.82745,             0.78026,                0.41,            0.072891,              1.0596,                   0,             0.00835,             0.00835,             0.00835,                0.41,             0.78026
                  52,            0.067243,             0.51119,                   0,             0.72316,             0.82745,             0.78026,                0.41,            0.072891,              1.0596,                   0,            0.008317,            0.008317,            0.008317,                0.41,             0.78026
                  53,            0.064445,             0.45753,                   0,             0.72423,             0.83075,             0.78547,             0.41598,             0.07207,              1.0526,                   0,            0.008284,            0.008284,            0.008284,             0.41598,             0.78547
                  54,            0.065052,             0.48462,                   0,             0.72423,             0.83075,             0.78547,             0.41598,             0.07207,              1.0527,                   0,            0.008251,            0.008251,            0.008251,             0.41598,             0.78547
                  55,             0.06433,             0.48237,                   0,             0.73492,             0.77059,             0.81668,             0.41019,            0.063204,             0.80798,                   0,            0.008218,            0.008218,            0.008218,             0.41019,             0.81668
                  56,            0.057849,             0.40853,                   0,             0.73492,             0.77059,             0.81668,             0.41019,            0.063204,             0.80804,                   0,            0.008185,            0.008185,            0.008185,             0.41019,             0.81668
                  57,            0.061656,             0.52888,                   0,             0.45778,             0.63975,             0.55259,             0.27786,            0.070734,               1.169,                   0,            0.008152,            0.008152,            0.008152,             0.27786,             0.55259
                  58,            0.063478,             0.46399,                   0,             0.45778,             0.63975,             0.55259,             0.27786,            0.070734,               1.169,                   0,            0.008119,            0.008119,            0.008119,             0.27786,             0.55259
                  59,            0.061464,             0.47989,                   0,             0.56118,             0.70963,             0.66763,             0.29261,            0.063099,              0.8634,                   0,            0.008086,            0.008086,            0.008086,             0.29261,             0.66763
                  60,            0.060248,             0.43808,                   0,             0.56118,             0.70963,             0.66763,             0.29261,            0.063099,              0.8634,                   0,            0.008053,            0.008053,            0.008053,             0.29261,             0.66763
